img,opt1,opt2,opt3,opt4,correct,author
https://assets.zeriahlabs.com/whosthatdinosaur/Allosaurus.webp,Tyrannosaurus,Carnotaurus,Spinosaurus,Allosaurus,Allosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Tyrannosaurus.webp,Iguanodon,Allosaurus,Tyrannosaurus,Spinosaurus,Tyrannosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Spinosaurus.webp,Allosaurus,Spinosaurus,Carnotaurus,Tyrannosaurus,Spinosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Carnotaurus.webp,Carnotaurus,Velociraptor,Iguanodon,Velociraptor,Carnotaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Baryonyx.webp,Archaeopteryx,Compsognathus,Velociraptor,Baryonyx,Baryonyx,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Archaeopteryx.webp,Allosaurus,Carnotaurus,Archaeopteryx,Tyrannosaurus,Archaeopteryx,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Compsognathus.webp,Velociraptor,Compsognathus,Tyrannosaurus,Archaeopteryx,Compsognathus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Velociraptor.webp,Velociraptor,Carnotaurus,Compsognathus,Allosaurus,Velociraptor,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Diplodocus.webp,Brontosaurus,Brachiosaurus,Triceratops,Diplodocus,Diplodocus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Brachiosaurus.webp,Ankylosaurus,Diplodocus,Brachiosaurus,Brontosaurus,Brachiosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Brontosaurus.webp,Diplodocus,Brontosaurus,Parasaurolophus,Brachiosaurus,Brontosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Pachycephalosaurus.webp,Pachycephalosaurus,Parasaurolophus,Allosaurus,Spinosaurus,Pachycephalosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Parasaurolophus.webp,Baryonyx,Velociraptor,Pachycephalosaurus,Parasaurolophus,Parasaurolophus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Ankylosaurus.webp,Parasaurolophus,Stegosaurus,Ankylosaurus,Triceratops,Ankylosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Triceratops.webp,Brachiosaurus,Triceratops,Pachycephalosaurus,Stegosaurus,Triceratops,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Stegosaurus.webp,Stegosaurus,Baryonyx,Triceratops,Spinosaurus,Stegosaurus,TotalDino
https://assets.zeriahlabs.com/whosthatdinosaur/Iguanodon.webp,Compsognathus,Archaeopteryx,Carnotaurus,Iguanodon,Iguanodon,TotalDino
